,crop,p,c1,c2,fertilizer subsidy (%),land area (ha),yield (kg/ha),production (kg),Nfert (kg/ha)
756,maize,50,50,0,0.0,380988.5,0.19,71632.45,0.0
757,maize,-30,-20,50,50.0,248.67,288.06,71632.45,0.0
758,maize,-20,10,10,10.0,594.68,166.23,98855.75,0.0
759,maize,-20,10,-40,-40.0,594.68,166.23,98855.75,0.0
760,maize,-20,40,10,10.0,3511.36,20.4,71632.45,0.0
761,maize,0,-40,-20,-20.0,213970.85,639.1,136748438.21,74.28
762,maize,40,0,0,0.0,77911.46,1424.31,110969854.3,450.3
763,maize,20,10,0,0.0,410.48,249.35,102354.29,0.0
764,maize,40,-40,-30,-30.0,64484.69,1550.64,99992416.41,188.9
765,maize,-20,30,-20,-20.0,1037.98,69.01,71632.45,0.0
766,maize,-10,-20,50,50.0,125007.22,826.9,103368860.78,39.09
767,maize,30,20,-10,-10.0,355.25,201.64,71632.45,0.0
768,maize,-40,-10,-20,-20.0,317.21,225.82,71632.45,0.0
769,maize,0,-40,40,40.0,260112.8,490.88,127685190.18,32.6
770,maize,20,50,20,20.0,380988.5,0.19,71632.45,0.0
771,maize,-30,-10,10,10.0,114167.55,938.11,107101368.94,58.23
772,maize,30,-10,-20,-20.0,66156.69,1581.26,104610916.65,396.97
773,maize,-30,30,20,20.0,1124.48,63.7,71632.45,0.0
774,maize,40,-40,10,10.0,118650.17,970.13,115105857.79,91.67
775,maize,-30,0,-20,-20.0,361.2,198.32,71632.45,0.0
776,maize,-40,20,40,40.0,710.5,100.82,71632.45,0.0
777,maize,50,-20,20,20.0,140089.07,863.29,120936865.46,86.79
778,maize,-40,50,50,50.0,380988.5,0.19,71632.45,0.0
779,maize,-20,30,-40,-40.0,1037.98,69.01,71632.45,0.0
780,maize,0,-10,50,50.0,226.58,316.15,71632.45,0.0
781,maize,-20,0,-40,-40.0,333.42,214.84,71632.45,0.0
782,maize,-20,40,50,50.0,3511.36,20.4,71632.45,0.0
783,maize,40,10,10,10.0,307.48,332.47,102225.67,0.0
784,maize,0,20,-20,-20.0,507.5,141.15,71632.45,0.0
785,maize,20,-40,-40,-40.0,111443.14,1047.79,116768649.65,130.55
786,maize,-20,30,-10,-10.0,1037.98,69.01,71632.45,0.0
787,maize,10,20,50,50.0,456.75,156.83,71632.45,0.0
788,maize,50,0,-30,-30.0,138.92,515.63,71632.45,0.0
789,maize,-20,30,-30,-30.0,1037.98,69.01,71632.45,0.0
790,maize,50,-10,50,50.0,53510.6,1548.89,82882017.52,57.33
791,maize,-10,0,-30,-30.0,305.63,234.38,71632.45,0.0
792,maize,30,-30,30,30.0,193207.98,640.36,123722903.74,47.47
793,maize,-20,0,50,50.0,67968.47,1306.29,88786730.08,53.23
794,maize,0,30,20,20.0,864.98,82.81,71632.45,0.0
795,maize,-40,-30,50,50.0,181267.08,618.99,112202318.27,31.28
796,maize,20,-10,-10,-10.0,84916.48,1345.84,114283800.2,458.53
797,maize,20,20,10,10.0,406.0,176.43,71632.45,0.0
798,maize,-10,10,-40,-40.0,554.65,181.35,100582.86,0.0
799,maize,20,-10,50,50.0,181.26,395.18,71632.45,0.0
800,maize,0,-40,20,20.0,256939.03,518.79,133296540.73,41.97
801,maize,0,20,50,50.0,507.5,141.15,71632.45,0.0
802,maize,50,30,-30,-30.0,432.49,165.63,71632.45,0.0
803,maize,-40,-20,-30,-30.0,267.8,267.49,71632.45,0.0
804,maize,40,-40,50,50.0,138962.62,792.51,110128841.63,45.82
805,maize,-30,-30,10,10.0,215.16,332.93,71632.45,0.0
806,maize,-40,0,0,0.0,388.98,184.15,71632.45,0.0
807,maize,-40,40,30,30.0,4096.58,17.49,71632.45,0.0
808,maize,0,-20,20,20.0,191.28,374.48,71632.45,0.0
809,maize,-20,40,-20,-20.0,3511.36,20.4,71632.45,0.0
810,maize,40,-10,-10,-10.0,101951.98,1156.81,117938679.76,227.87
811,maize,-10,-40,10,10.0,284701.55,484.15,137838425.85,41.76
